 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano/mês processamento
Período:Jul/2024-Jun/2026
"Unidade da Federação";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"2025/Jan";"2025/Fev";"2025/Mar";"2025/Abr";"2025/Mai";"2025/Jun";"2025/Jul";"2025/Ago";"2025/Set";"2025/Out";"2025/Nov";"2025/Dez";"2026/Jan";"2026/Fev";"2026/Mar";"2026/Abr";"2026/Mai";"2026/Jun";"Total"
"11 Rondônia";12124;11769;11225;10537;11281;9817;10636;10219;10762;11551;11823;11235;12610;12371;12259;12766;12159;11455;11443;11312;13252;12322;10613;8456;273997
"12 Acre";5830;4712;4896;4770;5038;3828;4537;4240;5346;5874;5576;5972;5104;5091;5047;5560;4604;4527;4774;4479;5087;4951;5328;-;115171
"13 Amazonas";19286;18733;19962;20117;18531;17037;22036;18984;19892;20290;20166;22515;24613;24408;23100;25112;21821;21542;21748;20400;23276;23388;22716;19563;509236
"14 Roraima";2637;3127;2882;3220;3349;2584;3882;2855;3459;2895;2898;2935;3002;3193;2738;2346;2740;2128;2597;2961;3082;3013;352;-;64875
"15 Pará";46082;46227;46894;47058;45876;44746;44599;43943;47078;46661;49149;48858;49639;50659;49447;50058;48679;48817;47344;45674;50991;49732;47073;40277;1135561
"16 Amapá";4936;4838;5188;5230;5002;4299;4219;4023;5009;5258;5246;5312;5059;4957;4792;4903;4195;4900;4938;4640;5420;5563;5849;5777;119553
"17 Tocantins";8840;9486;9242;8975;7636;8414;8962;8871;9143;9139;9525;9711;9478;9466;9104;9302;8338;7768;8884;9024;9574;9167;10204;845;209098
"21 Maranhão";42727;42449;41988;41556;40869;36887;41327;38819;40977;42083;44089;43752;43817;42433;43286;42713;41621;39755;40638;38144;42301;39802;38007;32513;982553
"22 Piauí";18404;18769;18718;18256;17411;17703;18919;16932;18339;17558;19083;19176;19376;18838;17236;19901;18019;18898;19531;17915;18124;17554;18752;16825;440237
"23 Ceará";51172;50892;49714;49145;46531;44083;45585;44773;47750;49152;53849;49978;50415;49700;52713;51834;49378;48118;48637;46201;52606;49255;53275;52819;1187575
"24 Rio Grande do Norte";19238;19716;18749;18963;17808;15153;17872;17811;18520;18597;20227;19216;20144;19299;18852;18285;18060;17607;17739;16589;18608;18209;18415;18242;441919
"25 Paraíba";22827;22831;22445;22096;20360;19791;19845;19274;21297;20840;22056;22110;22606;23003;22229;22942;20384;19040;20646;19393;22978;21924;20927;21148;512992
"26 Pernambuco";58551;59057;57502;58101;53268;53651;52535;50056;53532;56014;58662;54899;57532;58554;58199;58050;55041;55619;51853;51040;58126;56845;58242;53956;1338885
"27 Alagoas";14931;14945;14393;14632;13380;13303;13131;13527;14106;14054;15040;13397;16985;14853;14854;15413;14415;13881;14177;13588;15220;15481;15848;15162;348716
"28 Sergipe";10830;10165;9496;10319;10023;8958;9385;9418;10367;10513;10531;9351;10547;10601;11189;10986;10306;10340;10224;10654;11258;10880;10398;10082;246821
"29 Bahia";82719;83321;80904;80243;78964;73000;72301;74827;78164;78307;82459;78750;84590;84784;85884;82212;79921;76873;77927;78346;83861;81916;80919;75897;1917089
"31 Minas Gerais";131718;133534;131357;132267;126111;122477;125912;121801;127186;130275;138870;135702;140301;138505;137893;138709;129094;127389;131186;127795;139157;134164;132588;102236;3136227
"32 Espírito Santo";26996;25594;26035;27622;25234;25469;25816;24919;27083;23691;29569;27998;27492;27594;26733;28059;25978;25554;24807;25223;26226;25670;26307;26442;632111
"33 Rio de Janeiro";78075;77195;75639;74522;70768;68587;75290;71094;73143;72534;77970;77399;80089;78567;79779;80446;76618;75582;72939;72018;81028;77640;79428;79044;1825394
"35 São Paulo";236920;241581;235649;245615;229851;221327;233645;226742;241393;240430;254580;240706;250183;248520;246441;252173;235133;226234;233322;226428;251044;246274;252963;245238;5762392
"41 Paraná";87223;90130;89470;89548;85261;78630;86138;84508;86717;89707;91959;92656;94367;92542;93026;94622;90412;88167;92271;88527;93379;84114;98139;92649;2154162
"42 Santa Catarina";56834;56867;55979;58946;53507;52700;53466;53253;54851;55503;60351;57239;60154;60088;59165;61283;58436;55009;56756;53796;58579;58378;58680;59061;1368881
"43 Rio Grande do Sul";70085;73075;69982;74773;68825;66840;66620;65833;68489;70071;72951;71256;74650;73904;75163;75458;73453;70503;69652;67798;73467;74654;74216;75588;1717306
"50 Mato Grosso do Sul";17866;18610;18866;18397;17042;17630;18541;16793;17628;18639;18621;17540;18135;17969;18261;17287;16509;16041;17443;16691;16986;17492;17312;16618;422917
"51 Mato Grosso";22189;22034;21678;20850;19531;19224;20475;20487;23144;21747;22905;23143;21734;23204;22801;22241;21127;20484;21238;20512;22955;22749;22742;20371;519565
"52 Goiás";38329;37275;37306;37276;34606;35635;37254;36383;39387;38160;40773;38678;39027;38429;37521;38084;37361;36327;36102;36121;39076;38077;38634;35855;901676
"53 Distrito Federal";21467;21134;19376;20246;19646;18478;20926;19284;20983;20236;21819;21036;21517;20461;20803;20766;19737;20313;19492;18277;20349;19689;21460;21121;488616
"Total";1208836;1218066;1195535;1213280;1145709;1100251;1153854;1119669;1183745;1189779;1260747;1220520;1263166;1251993;1248515;1261511;1193539;1162871;1178308;1143546;1256010;1218903;1239387;1145785;28773525
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
